vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_borough,payment_type,fare_amount,tip_amount,total_amount
1,2026-03-03 21:09:15,,6,6.78,Brooklyn,credit_card,42.33,8.17,51.80
1,2026-03-03 22:11:30,2026-03-03 22:42:30,5,4.75,Brooklyn,credit_card,33.35,6.31,40.96
1,2026-03-04 22:05:30,2026-03-04 22:39:30,1,5.17,Staten Island,cash,36.18,0.00,37.48
1,2026-03-05 19:42:45,2026-03-05 20:20:45,1,5.92,Manhattan,credit_card,40.48,6.32,50.60
2,2026-03-06 15:42:45,2026-03-06 16:09:45,6,3.84,Manhattan,cash,28.60,0.00,32.40
2,2026-03-07 22:42:30,2026-03-07 23:12:30,2,5.02,Queens,cash,33.56,0.00,34.86
1,2026-03-08 22:10:45,2026-03-08 22:24:45,1,1.75,Manhattan,credit_card,15.60,3.85,23.25
1,2026-03-02 08:20:30,2026-03-02 08:44:30,1,3.32,EWR,credit_card,25.50,5.94,32.74
1,2026-03-03 15:53:00,2026-03-03 16:42:00,1,9.21,Manhattan,cash,55.74,0.00,59.54
2,2026-03-32 08:14:00,2026-03-04 18:40:45,1,9.83,Manhattan,credit_card,62.42,10.69,76.91
1,2026-03-04 17:37:30,2026-03-04 18:17:30,5,6.45,Manhattan,credit_card,43.06,7.40,54.26
2,2026-03-05 17:56:00,2026-03-05 18:55:00,1,11.41,Manhattan,credit_card,67.40,11.28,82.48
1,2026-03-06 15:55:45,2026-03-06 16:11:45,6,2.30,Queens,credit_card,18.24,4.95,24.49
1,2026-03-07 07:28:00,2026-03-07 07:36:00,6,1.54,Brooklyn,cash,11.71,0.00,13.01
2,2026-03-08 09:29:15,2026-03-08 10:35:15,5,11.47,Manhattan,credit_card,71.42,14.82,90.04
1,2026-03-02 19:28:30,2026-03-02 20:20:30,6,10.03,Staten Island,cash,59.68,0.00,60.98
2,2026-03-03 07:37:45,2026-03-03 07:47:45,1,1.30,Queens,cash,12.14,0.00,13.44
2,2026-03-04 07:26:15,2026-03-04 08:15:15,3,9.03,Manhattan,credit_card,55.23,15.02,74.05
1,2026-03-05 07:43:00,not recorded,1,6.48,Manhattan,cash,43.14,0.00,46.94
2,2026-03-05 18:25:30,2026-03-05 18:59:30,5,5.23,Manhattan,cash,36.34,0.00,40.14
1,2026-03-06 08:37:00,2026-03-06 08:46:00,3,1.27,Manhattan,credit_card,11.51,2.78,18.09
1,2026-03-07 18:15:15,2026-03-07 18:39:15,5,3.86,Manhattan,credit_card,27.01,6.70,37.51
2,2026-03-08 19:14:45,2026-03-08 19:56:45,5,6.83,Brooklyn,cash,45.22,0.00,46.52
1,2026-03-02 09:09:00,2026-03-02 09:26:00,3,2.64,Bronx,credit_card,19.74,4.87,25.91
2,2026-03-03 11:02:00,2026-03-03 11:24:00,5,4.34,EWR,credit_card,27.25,6.77,35.32
2,2026-03-05 15:20:45,2026-03-05 15:47:45,1,4.87,Manhattan,credit_card,31.49,6.77,42.06
1,2026-03-04 19:28:00,2026-03-04 19:51:00,1,4.17,Brooklyn,credit_card,27.33,4.34,32.97
1,2026-03-05 08:40:15,2026-03-05 09:17:15,1,5.58,Queens,credit_card,38.97,9.93,50.20
2,2026-03-06 15:01:30,2026-03-06 15:35:30,4,5.72,Brooklyn,credit_card,-12.50,8.16,47.18
1,2026-03-06 19:44:15,2026-03-06 20:44:15,1,10.61,Bronx,credit_card,65.71,10.14,77.15
1,2026-03-07 17:15:15,2026-03-07 18:13:15,2,11.24,Staten Island,credit_card,66.37,15.20,82.87
2,2026-03-08 17:45:15,2026-03-08 18:42:15,1,10.53,Bronx,cash,63.83,0.00,65.13
2,2026-03-02 13:11:00,2026-03-02 13:33:00,4,2.88,Manhattan,cash,23.16,0.00,26.96
2,2026-03-03 08:29:30,2026-03-03 08:52:30,1,4.37,Manhattan,credit_card,27.89,6.47,38.16
2,2026-03-04 18:19:45,2026-03-04 18:46:45,6,4.01,Bronx,credit_card,29.08,8.00,38.38
2,2026-03-05 22:04:30,2026-03-05 22:44:30,1,7.54,Manhattan,credit_card,46.11,7.03,56.94
1,2026-03-06 19:04:45,2026-03-06 19:17:45,3,0.96,Queens,credit_card,12.84,2.40,16.54
1,2026-03-07 21:26:15,2026-03-07 22:16:15,2,8.84,Queens,cash,,0.00,56.55
1,2026-03-07 17:45:15,2026-03-07 18:18:15,1,6.28,Queens,credit_card,38.73,10.63,50.66
2,2026-03-08 18:39:00,2026-03-08 18:52:00,6,1.65,Manhattan,credit_card,14.77,2.25,20.82
1,2026-03-02 21:48:30,2026-03-02 22:07:30,5,2.47,Brooklyn,credit_card,20.37,3.06,24.73
2,2026-03-03 19:01:45,2026-03-03 19:49:45,2,8.80,Bronx,credit_card,54.04,8.95,64.29
2,2026-03-04 08:01:00,2026-03-04 08:33:00,3,5.00,Queens,credit_card,34.60,6.46,42.36
2,2026-03-05 07:25:15,2026-03-05 07:45:15,1,3.81,Brooklyn,cash,24.67,0.00,25.97
1,2026-03-06 19:27:45,2026-03-06 20:02:45,1,6.84,Bronx,credit_card,41.40,7.07,49.77
2,2026-03-07 07:50:30,2026-03-07 08:03:30,1,2.45,Queens,credit_card,17.01,4.03,22.34
2,2026-03-08 09:40:30,2026-03-08 09:23:30,2,5.16,Manhattan,credit_card,34.50,7.10,45.40
2,2026-03-08 21:06:45,2026-03-08 22:03:45,2,9.46,Queens,credit_card,60.84,13.41,75.55
1,2026-03-02 19:13:30,2026-03-02 19:45:30,2,5.86,Manhattan,cash,37.01,0.00,40.81
2,2026-03-03 18:40:15,2026-03-03 19:15:15,1,5.72,Bronx,cash,38.27,0.00,39.57
1,2026-03-04 09:23:15,2026-03-04 10:07:15,1,7.07,Brooklyn,credit_card,47.00,11.36,59.66
1,2026-03-05 07:21:30,2026-03-05 07:36:30,1,2.01,Manhattan,credit_card,16.88,4.37,25.05
1,2026-03-06 19:47:15,2026-03-06 20:46:15,3,10.63,Manhattan,credit_card,65.21,17.85,86.86
1,2026-03-07 22:44:45,2026-03-07 23:22:45,5,7.16,Manhattan,credit_card,43.95,8.77,56.52
2,2026-03-08 18:04:30,2026-03-08 18:43:30,1,6.04,Staten Island,credit_card,41.36,6.90,49.56
1,2026-03-02 17:50:45,2026-03-02 18:16:45,0,3.95,Brooklyn,credit_card,28.36,6.46,36.12
1,2026-03-02 22:24:00,2026-03-02 23:06:00,2,8.09,Brooklyn,credit_card,48.75,8.24,58.29
1,2026-03-03 11:05:45,2026-03-03 11:23:45,4,2.31,Manhattan,cash,19.37,0.00,23.17
2,2026-03-04 15:41:30,2026-03-04 15:50:30,1,1.18,Manhattan,credit_card,11.25,1.89,16.94
1,2026-03-05 21:52:30,2026-03-05 22:03:30,1,1.48,Manhattan,cash,13.19,0.00,16.99
2,2026-03-06 11:53:45,2026-03-06 12:27:45,3,5.16,Manhattan,credit_card,36.15,9.67,49.62
1,2026-03-07 21:04:00,2026-03-07 22:11:00,1,11.48,Manhattan,credit_card,71.99,19.07,94.86
2,2026-03-08 08:23:30,2026-03-08 08:59:30,3,6.51,Manhattan,credit_card,41.03,6.17,51.00
1,2026-03-02 17:17:30,2026-03-02 17:33:30,1,2.59,Staten Island,credit_card,19.05,4.92,25.27
2,2026-03-03 18:08:00,2026-03-03 18:57:00,9,8.44,Manhattan,credit_card,53.58,13.10,70.48
1,2026-03-03 15:31:30,2026-03-03 16:27:30,5,10.75,Bronx,cash,63.90,0.00,65.20
2,2026-03-04 15:18:30,2026-03-04 15:55:30,1,6.16,Manhattan,credit_card,40.60,8.84,53.24
2,2026-03-05 17:06:30,2026-03-05 17:28:30,2,3.71,Manhattan,credit_card,25.49,7.07,36.36
2,2026-03-06 07:16:00,2026-03-06 08:01:00,1,8.49,Queens,credit_card,51.52,14.05,66.87
2,2026-03-07 15:52:30,2026-03-07 16:38:30,4,7.95,Brooklyn,credit_card,50.56,7.69,59.55
1,2026-03-08 11:09:00,2026-03-08 11:44:00,1,5.48,Manhattan,credit_card,37.59,8.40,49.79
1,2026-03-02 13:15:00,2026-03-02 13:37:00,1,4.36,Queens,credit_card,27.31,5.19,33.80
2,2026-03-03 07:39:15,2026-03-03 08:05:15,5,4.54,Manhattan,credit_card,30.01,7.98,41.79
2,2026-03-04 13:40:30,2026-03-04 13:57:30,,2.27,Manhattan,credit_card,18.71,2.94,25.45
1,2026-03-04 22:41:45,2026-03-04 22:52:45,1,2.24,Manhattan,cash,15.32,0.00,19.12
2,2026-03-05 15:20:30,2026-03-05 15:41:30,1,3.83,Manhattan,credit_card,25.27,6.60,35.67
2,2026-03-06 17:09:00,2026-03-06 17:58:00,6,8.33,Manhattan,credit_card,53.27,9.38,66.45
2,2026-03-07 08:25:30,2026-03-07 09:18:30,2,9.24,Queens,credit_card,58.02,12.70,72.02
1,2026-03-08 21:09:45,2026-03-08 21:45:45,4,6.90,Manhattan,cash,42.12,0.00,45.92
1,2026-03-02 21:42:15,2026-03-02 22:42:15,1,10.43,Bronx,cash,65.20,0.00,66.50
2,2026-03-03 22:49:45,2026-03-03 23:05:45,6,1.55,Manhattan,cash,16.14,0.00,19.94
1,2026-03-04 11:09:00,2026-03-04 12:11:00,2,11.35,Manhattan,cash,68.88,0.00,72.68
1,2026-03-05 18:55:45,2026-03-05 19:58:45,1,10.61,Manhatan,credit_card,67.36,15.06,83.72
2,2026-03-05 19:39:45,2026-03-05 19:54:45,1,2.42,Brooklyn,credit_card,18.03,3.42,22.75
2,2026-03-06 13:59:45,2026-03-06 15:06:45,1,11.48,Manhattan,credit_card,71.99,11.22,87.01
2,2026-03-07 21:40:00,2026-03-07 22:25:00,2,8.27,Brooklyn,credit_card,50.91,11.29,63.50
2,2026-03-08 08:50:45,2026-03-08 09:18:45,1,4.21,Brooklyn,credit_card,30.19,6.80,38.29
1,2026-03-02 15:30:15,2026-03-02 16:19:15,3,8.72,Brooklyn,credit_card,54.37,12.44,68.11
2,2026-03-03 22:15:30,2026-03-03 23:16:30,2,10.89,Manhattan,credit_card,67.04,16.49,87.33
2,2026-03-04 17:12:30,2026-03-04 17:35:30,1,3.32,Brooklyn,cash,24.95,0.00,26.25
1,2026-03-05 13:01:00,2026-03-05 13:46:00,1,7.57,Manhattan,cash,48.95,0.00,52.75
1,2026-03-06 18:41:15,2026-03-06 18:57:15,1,1.68,Unknown,credit_card,16.50,3.70,24.00
2,2026-03-06 09:10:30,2026-03-06 10:06:30,1,10.28,Queens,credit_card,62.58,13.44,77.32
2,2026-03-07 17:20:30,2026-03-07 17:29:30,4,1.49,Manhattan,credit_card,12.12,1.87,17.79
1,2026-03-08 22:18:00,2026-03-08 23:03:00,3,7.13,Manhattan,credit_card,47.71,8.89,60.40
1,2026-03-02 17:06:45,2026-03-02 17:56:45,1,8.30,Manhattan,credit_card,53.74,11.25,68.79
1,2026-03-03 08:18:00,2026-03-03 09:10:00,2,8.81,Manhattan,credit_card,56.27,15.40,75.47
1,2026-03-04 21:16:45,2026-03-04 21:58:45,1,7.22,Manhattan,cash,46.32,0.00,50.12
1,2026-03-05 08:48:15,2026-03-05 09:26:15,6,6.50,Manhattan,credit_card,42.10,8.63,54.53
2,2026-03-06 17:01:15,2026-03-06 18:04:15,2,11.25,Manhattan,credit_card,69.15,11.86,84.81
1,2026-03-07 09:31:00,2026-03-07 09:25:00,1,6.18,Staten Island,credit_card,-4.80,10.26,51.11
2,2026-03-07 09:41:30,2026-03-07 10:10:30,3,5.57,Queens,credit_card,34.55,7.84,43.69
1,2026-03-08 21:42:00,2026-03-08 22:46:00,4,11.30,Manhattan,cash,69.84,0.00,73.64
2,2026-03-02 21:56:30,2026-03-02 22:05:30,1,1.57,Manhattan,credit_card,12.35,2.59,18.74
2,2026-03-03 19:36:00,2026-03-03 20:30:00,1,9.81,Manhattan,credit_card,60.17,9.26,73.23
2,2026-03-04 18:21:15,2026-03-04 18:53:15,1,5.28,Queens,credit_card,35.38,8.42,45.10
1,2026-03-05 22:31:00,2026-03-05 23:10:00,4,7.12,Staten Island,credit_card,44.39,7.84,53.53
2,2026-03-06 19:48:30,2026-03-06 20:17:30,1,5.54,Brooklyn,credit_card,34.46,6.87,42.63
2,2026-03-07 22:32:00,2026-03-07 22:53:00,1,3.73,Queens,cash,24.99,0.00,26.29
2,2026-03-08 11:34:30,2026-03-08 11:56:30,2,3.83,Queens,credit_card,25.82,6.16,33.28
2,2026-03-02 07:40:45,2026-03-02 08:16:45,6,7.07,Bronx,cash,42.60,0.00,43.90
1,2026-03-03 09:00:00,2026-03-03 09:51:00,5,9.36,Staten Island,credit_card,57.26,10.08,68.64
1,2026-03-04 18:32:00,2026-03-04 18:50:00,1,3.55,Manhattan,cash,22.84,0.00,26.64
1,2026-03-05 09:39:30,2026-03-05 10:07:30,3,4.66,Manhattan,cash,31.45,0.00,35.25
2,2026-03-06 11:59:30,2026-03-06 12:13:30,4,2.24,Brooklyn,credit_card,16.97,3.25,21.52
1,2026-03-07 19:07:45,2026-03-07 19:56:45,5,9.45,Manhattan,credit_card,56.41,14.20,74.41
2,2026-03-08 11:48:00,2026-03-08 12:34:00,6,7.49,Manhattan,cash,49.27,0.00,53.07
1,2026-03-02 11:40:15,2026-03-02 12:04:15,1,4.09,Manhattan,cash,27.65,0.00,31.45
2,2026-03-03 22:22:30,2026-03-03 23:22:30,1,11.05,Queens,credit_card,66.94,17.62,85.86
2,2026-03-04 08:37:30,2026-03-04 08:54:30,3,3.10,Queens,cash,21.03,0.00,22.33
1,2026-03-05 11:32:00,2026-03-05 12:28:00,2,9.68,Manhattan,credit_card,60.90,16.46,81.16
1,2026-03-06 17:19:15,2026-03-06 17:38:15,6,2.99,Queens,credit_card,21.82,4.94,28.06
1,2026-03-03 17:14:15,2026-03-04 11:45:15,1,212.40,Queens,credit_card,1208.77,336.29,1546.36
1,2026-03-06 17:21:15,2026-03-07 08:56:15,3,178.90,Brooklyn,credit_card,1018.17,195.46,1214.93
